TF,Target,Regulation
FlhDC,flgI,+
FlhDC,flgJ,+
FliA,flgK,+
FliA,flgL,+
CsgD,flgM,-
FlhDC,flgM,+
FliA,flgM,+
CsgD,flgN,-
FlhDC,flgN,+
FliA,flgN,+
FlhDC,flhA,+
FlhDC,flhB,+
CRP,flhC,+
FliZ,flhC,-
Fur,flhC,-
HdfR,flhC,-
H-NS,flhC,+
IHF,flhC,-
LrhA,flhC,-
MatA,flhC,-
OmpR,flhC,-
QseB,flhC,+
RcsAB,flhC,-
YjjQ,flhC,-
CRP,flhD,+
FliZ,flhD,-
Fur,flhD,-
HdfR,flhD,-
H-NS,flhD,+
IHF,flhD,-
LrhA,flhD,-
MatA,flhD,-
OmpR,flhD,-
QseB,flhD,+
RcsAB,flhD,-
YjjQ,flhD,-
FlhDC,flhE,+
CsgD,FliA,-
FlhDC,FliA,+
H-NS,FliA,+
MatA,FliA,-
NsrR,FliA,-
SutR,FliA,-
FliA,fliC,+
GadE,fliC,+
H-NS,fliC,+
MatA,fliC,-
FlhDC,fliD,+
FliA,fliD,+
CsgD,fliE,-
FlhDC,fliE,+
FliA,fliE,+
CsgD,fliF,-
FlhDC,fliF,+
FliA,fliF,+
CsgD,fliG,-
FlhDC,fliG,+
FliA,fliG,+
CsgD,fliH,-
FlhDC,fliH,+
FliA,fliH,+
CsgD,fliI,-
FlhDC,fliI,+
FliA,fliI,+
CsgD,fliJ,-
FlhDC,fliJ,+
FliA,fliJ,+
CsgD,fliK,-
FlhDC,fliK,+
FliA,fliK,+
FlhDC,fliL,+
FliA,fliL,+
FlhDC,fliM,+
FliA,fliM,+
FlhDC,fliN,+
FliA,fliN,+
FlhDC,fliO,+
FliA,fliO,+
FlhDC,fliP,+
FliA,fliP,+
FlhDC,fliQ,+
FliA,fliQ,+
FlhDC,fliR,+
FliA,fliR,+
FlhDC,fliS,+
FliA,fliS,+
FlhDC,fliT,+
FliA,fliT,+
CsgD,FliZ,-
FlhDC,FliZ,+
FliA,FliZ,+
H-NS,FliZ,+
MatA,FliZ,-
NsrR,FliZ,-
SutR,FliZ,-
OxyR,flu,-
Fis,flxA,+
FliA,flxA,+
ArcA,FNR,-
Fur,FNR,-
IHF,FNR,+
FNR,fnrS,+
ArcA,focA,+
CRP,focA,+
FNR,focA,+
IHF,focA,+
NarL,focA,-
CRP,focB,+
FhlA,focB,+
FNR,focB,-
HyfR,focB,+
IHF,folA,+
TyrR,folA,+
MetJ,folE,-
MarA,fpr,+
SoxS,fpr,+
EvgA,frc,+
DcuR,frdA,+
FNR,frdA,+
NarL,frdA,-
DcuR,frdB,+
FNR,frdB,+
NarL,frdB,-
DcuR,frdC,+
FNR,frdC,+
NarL,frdC,-
DcuR,frdD,+
FNR,frdD,+
NarL,frdD,-
Cra,fruA,-
Cra,fruB,-
Cra,fruK,-
Fur,ftnA,+
H-NS,ftnA,-
CpxR,ftnB,+
LexA,ftsA,-
MraZ,ftsA,-
PdhR,ftsA,-
RcsB,ftsA,+
SdiA,ftsA,-
LexA,ftsI,-
MraZ,ftsI,-
PdhR,ftsI,-
LexA,ftsK,-
LexA,ftsL,-
MraZ,ftsL,-
PdhR,ftsL,-
LexA,ftsQ,-
MraZ,ftsQ,-
PdhR,ftsQ,-
SdiA,ftsQ,-
SdiA,ftsQ,+
LexA,ftsW,-
MraZ,ftsW,-
PdhR,ftsW,-
LexA,ftsZ,-
MraZ,ftsZ,-
PdhR,ftsZ,-
RcsB,ftsZ,+
SdiA,ftsZ,-
CRP,fucA,+
FucR,fucA,+
CRP,fucI,+
FucR,fucI,+
CRP,fucK,+
FucR,fucK,+
CRP,fucO,+
FucR,fucO,+
CRP,fucP,+
FucR,fucP,+
CRP,FucR,+
CRP,fucU,+
FucR,fucU,+
ArcA,fumA,-
CRP,fumA,+
FNR,fumA,-
ArcA,fumB,+
CRP,fumB,+
DcuR,fumB,+
Fis,fumB,-
FNR,fumB,+
Fur,fumB,+
NarL,fumB,-
ArcA,fumC,-
CRP,fumC,+
FNR,fumC,-
Fur,fumC,-
MarA,fumC,+
Rob,fumC,+
SoxR,fumC,+
SoxS,fumC,+
CRP,Fur,+
OxyR,Fur,+
SoxS,Fur,+
CRP,gabD,+
CsiR,gabD,-
H-NS,gabD,+
Lrp,gabD,+
Nac,gabD,+
CRP,gabP,+
CsiR,gabP,-
H-NS,gabP,+
Lrp,gabP,+
Nac,gabP,+
CRP,gabT,+
CsiR,gabT,-
H-NS,gabT,+
Lrp,gabT,+
Nac,gabT,+
